CodigoPrestacion,serie,bloque,descripcion,filas,establecimientos,meses,pct_na,pct_cero,pct_pos,volumen,mediana_fila,max_fila
26411010,A,domiciliaria_padds,Dep. severa por condiciones asociadas (TOTAL del eje),10210,1567,1|2|3|4|5|6|7|8|9|10|11|12,81.8366307541626,9.32791380999021,8.83545543584721,209361,9,1075
26411011,A,domiciliaria_padds,Familia dep. severa terminal (excl. estadios avanzados de demencia),5784,1207,1|2|3|4|5|6|7|8|9|10|11|12,82.0712309820194,10.6286307053942,7.30013831258645,65112,5,696
26411012,A,domiciliaria_padds,Familia dep. severa SIN diagnostico de demencia,13115,1754,1|2|3|4|5|6|7|8|9|10|11|12,81.6786885245902,8.78246282882196,9.53884864658788,403429,13,2399
05224201,A,egresos_sm,Egreso programa SM por Demencias (incluye Alzheimer) - Leve,1000,446,1|2|3|4|5|6|7|8|9|10|11|12,72.506,21.268,6.226,5361,3,111
05224202,A,egresos_sm,Egreso programa SM por Demencias - Moderado,1126,462,1|2|3|4|5|6|7|8|9|10|11|12,71.2326820603908,22.7477797513322,6.01953818827709,6233,3,224
05224203,A,egresos_sm,Egreso programa SM por Demencias - Avanzado,911,399,1|2|3|4|5|6|7|8|9|10|11|12,68.2063666300769,25.4270032930845,6.36663007683864,5266,4,204
19201021,A,familias,Familia con integrante con demencia,2492,585,1|2|3|4|5|6|7|8|9|10|11|12,97.9927768860353,0.007223113964687,2,25732,2,445
05901801,A,ingresos_sm,Ingreso programa SM por Demencias (incluye Alzheimer) - Leve,3006,847,1|2|3|4|5|6|7|8|9|10|11|12,65.3952095808383,26.7511643379907,7.85362608117099,18317,3,104
05901802,A,ingresos_sm,Ingreso programa SM por Demencias - Moderado,2840,789,1|2|3|4|5|6|7|8|9|10|11|12,65.1542253521127,26.8133802816901,8.03239436619718,19391,3,93
05901803,A,ingresos_sm,Ingreso programa SM por Demencias - Avanzado,1378,496,1|2|3|4|5|6|7|8|9|10|11|12,64.5820029027576,27.9462989840348,7.47169811320755,8063,3,57
06906135,A,pnd_evaluaciones,Personas con Demencia con Reevaluacion Deterioro GLOBAL GDS Reisberg,773,143,1|2|3|4|5|6|7|8|9|10|11|12,85.0323415265201,4.57438551099612,10.3932729624838,24700,15,513
06906140,A,pnd_evaluaciones,Cuidadores de Personas con Demencia - Reevaluacion Sobrecarga,315,68,1|2|3|4|5|6|7|8|9|10|11|12,85.0666666666667,4.61587301587302,10.3174603174603,6677,12,128
06906145,A,pnd_evaluaciones,Cuidadores de Personas con Demencia - Evaluacion Satisfaccion usuaria,96,22,1|2|3|4|5|6|7|8|9|10|11|12,84.3541666666667,4.79166666666667,10.8541666666667,2421,18,81
28020840,A,rehabilitacion,Cuidadores,256,122,1|2|3|4|5|6|7|8|9|10|11|12,90.3203125,4.046875,5.6328125,5944,13,900
28020900,A,rehabilitacion,Cuidadores (2),422,147,1|2|3|4|5|6|7|8|9|10|11|12,91.1563981042654,3.00947867298578,5.83412322274882,8934,12,437
28021500,A,rehabilitacion,Estimulacion cognitiva (2),1362,139,1|2|3|4|5|6|7|8|9|10|11|12,98,0,2,488739,135,3947
28022300,A,rehabilitacion,Estimulacion cognitiva,7210,974,1|2|3|4|5|6|7|8|9|10|11|12,96.4343966712899,1.0879334257975,2.47766990291262,232040,11,1013
28201001,A,rehabilitacion,Eje diagnostico Alzheimer y otras demencias,1239,441,1|2|3|4|5|6|7|8|9|10|11|12,67.9402744148507,22.1275221953188,9.93220338983051,10290,4,120
01010053,BS,prestaciones_cognitivas,Evaluacion cognitiva,498,65,1|2|3|4|5|6|7|8|9|10|11|12,73.9036144578313,17.2289156626506,8.86746987951807,145591,84,13632
01010054,BS,prestaciones_cognitivas,Estimulacion cognitiva,591,81,1|2|3|4|5|6|7|8|9|10|11|12,73.8071065989848,17.336717428088,8.85617597292724,404100,224,9924
01010916,BS,prestaciones_cognitivas,Evaluacion de funciones cognitivas,674,79,1|2|3|4|5|6|7|8|9|10|11|12,74.0623145400594,16.6706231454006,9.26706231454006,278492,132,9864
P3171613,P,bajo_control_am,Dep. severa domiciliaria Con Demencia (subgrupo),2521,1413,6|12,59.6572788575962,26.6759222530742,13.6667988893296,137118,21,905
P6222300,P,bajo_control_sm,Poblacion bajo control SM Demencias (incluye Alzheimer),2135,1224,6|12,59.263700234192,26.4814988290398,14.2548009367682,83857,14,676
P6223310,P,bajo_control_sm,Poblacion bajo control SM Demencias - seccion hermana,175,110,6|12,54.3314285714286,28.4457142857143,17.2228571428571,9208,15,468
